"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
388 38.7103 38.7103 129.09 129.09
585 29.1591 29.1591 119.539 119.539
850 14482.4 29.1591 14572.8 119.539
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 87.5954 87.5954 -175.925 -175.925
28 49.3841 49.3841 -214.136 -214.136
122 38.6472 38.6472 -224.873 -224.873
180 37.1055 37.1055 -226.415 -226.415
201 33.4089 33.4089 -230.111 -230.111
359 30.8924 30.8924 -232.628 -232.628
604 23.3049 23.3049 -240.215 -240.215
850 98.2641 23.3049 -165.256 -240.215
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 159.528 159.528 469.718 469.718
6 144.783 144.783 454.973 454.973
8 132.642 132.642 442.832 442.832
9 125.008 125.008 435.198 435.198
10 89.0849 89.0849 399.275 399.275
12 80.9937 80.9937 391.184 391.184
16 71.2137 71.2137 381.404 381.404
35 55.4226 55.4226 365.613 365.613
124 49.0138 49.0138 359.204 359.204
331 45.7884 45.7884 355.978 355.978
346 18.3909 18.3909 328.581 328.581
850 400.528 18.3909 710.718 328.581
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 205.041 205.041 148.661 148.661
2 155.803 155.803 99.4231 99.4231
3 107.499 107.499 51.1188 51.1188
18 100.782 100.782 44.4016 44.4016
19 89.2038 89.2038 32.8238 32.8238
22 64.026 64.026 7.64599 7.64599
106 61.2129 61.2129 4.83294 4.83294
109 55.5041 55.5041 -0.875894 -0.875894
117 52.8168 52.8168 -3.56324 -3.56324
131 52.1655 52.1655 -4.21452 -4.21452
133 36.1948 36.1948 -20.1852 -20.1852
176 25.6963 25.6963 -30.6837 -30.6837
850 84.957 25.6963 28.577 -30.6837
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.3512 58.3512 -941.649 -941.649
27 56.2217 56.2217 -943.778 -943.778
102 43.771 43.771 -956.229 -956.229
154 28.0839 28.0839 -971.916 -971.916
850 86.4133 28.0839 -913.587 -971.916
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 61.4912 61.4912 96.9712 96.9712
101 56.1289 56.1289 91.6089 91.6089
128 45.9565 45.9565 81.4365 81.4365
238 44.6742 44.6742 80.1542 80.1542
258 27.619 27.619 63.099 63.099
850 63.6609 27.619 99.1409 63.099
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 94.0549 94.0549 41.4249 41.4249
20 74.655 74.655 22.025 22.025
47 63.8801 63.8801 11.2501 11.2501
49 60.3099 60.3099 7.67993 7.67993
113 34.1056 34.1056 -18.5244 -18.5244
174 32.2912 32.2912 -20.3388 -20.3388
382 29.2987 29.2987 -23.3313 -23.3313
850 60.9369 29.2987 8.30688 -23.3313
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 163.556 163.556 -525.334 -525.334
2 120.067 120.067 -568.823 -568.823
7 96.3928 96.3928 -592.497 -592.497
32 69.6216 69.6216 -619.268 -619.268
37 49.562 49.562 -639.328 -639.328
103 22.3909 22.3909 -666.499 -666.499
568 19.8193 19.8193 -669.071 -669.071
850 69.2839 19.8193 -619.606 -669.071
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 141.651 141.651 100.761 100.761
3 130.524 130.524 89.6339 89.6339
5 104.948 104.948 64.0584 64.0584
6 85.8959 85.8959 45.0059 45.0059
17 83.3182 83.3182 42.4282 42.4282
31 69.5036 69.5036 28.6136 28.6136
102 57.6529 57.6529 16.7629 16.7629
133 55.0225 55.0225 14.1325 14.1325
157 53.8944 53.8944 13.0044 13.0044
241 53.1285 53.1285 12.2385 12.2385
314 51.7879 51.7879 10.8979 10.8979
421 45.7679 45.7679 4.87786 4.87786
569 44.684 44.684 3.79404 3.79404
659 44.2707 44.2707 3.38073 3.38073
663 40.359 40.359 -0.530993 -0.530993
711 26.1588 26.1588 -14.7312 -14.7312
850 117.79 26.1588 76.9004 -14.7312
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 112.517 112.517 -138.723 -138.723
3 107.952 107.952 -143.288 -143.288
12 105.625 105.625 -145.615 -145.615
17 61.6819 61.6819 -189.558 -189.558
105 54.5638 54.5638 -196.676 -196.676
118 52.2742 52.2742 -198.966 -198.966
148 51.1719 51.1719 -200.068 -200.068
170 44.1878 44.1878 -207.052 -207.052
185 41.3998 41.3998 -209.84 -209.84
202 26.7118 26.7118 -224.528 -224.528
387 24.9393 24.9393 -226.301 -226.301
850 143.261 24.9393 -107.979 -226.301
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 161.148 161.148 128.268 128.268
2 118.568 118.568 85.6884 85.6884
5 95.1745 95.1745 62.2945 62.2945
16 83.372 83.372 50.492 50.492
26 70.8013 70.8013 37.9213 37.9213
101 68.2993 68.2993 35.4193 35.4193
104 68.2664 68.2664 35.3864 35.3864
105 67.3494 67.3494 34.4694 34.4694
123 62.2588 62.2588 29.3788 29.3788
132 60.2392 60.2392 27.3592 27.3592
199 49.313 49.313 16.433 16.433
225 46.3657 46.3657 13.4857 13.4857
251 36.4336 36.4336 3.55359 3.55359
559 33.6372 33.6372 0.757196 0.757196
850 157.324 33.6372 124.444 0.757196
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 166.313 166.313 157.743 157.743
2 137.635 137.635 129.065 129.065
4 132.782 132.782 124.212 124.212
5 97.5767 97.5767 89.0067 89.0067
13 67.6199 67.6199 59.0499 59.0499
109 61.1513 61.1513 52.5813 52.5813
116 53.584 53.584 45.014 45.014
136 51.0596 51.0596 42.4896 42.4896
155 47.3867 47.3867 38.8167 38.8167
191 38.5877 38.5877 30.0177 30.0177
