"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
2150 215267 63579.5 216267 64579.5
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 791255 791255 791101 791101
2 577510 577510 577355 577355
12 197059 197059 196904 196904
288 174491 174491 174336 174336
752 147451 147451 147296 147296
2150 191616 147451 191462 147296
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.2599e+06 2.2599e+06 2.25994e+06 2.25994e+06
2 2.25664e+06 2.25664e+06 2.25668e+06 2.25668e+06
3 1.61347e+06 1.61347e+06 1.6135e+06 1.6135e+06
5 1.17505e+06 1.17505e+06 1.17509e+06 1.17509e+06
8 1.03233e+06 1.03233e+06 1.03237e+06 1.03237e+06
10 797703 797703 797743 797743
25 518415 518415 518454 518454
413 387596 387596 387635 387635
518 360610 360610 360649 360649
766 342227 342227 342267 342267
882 327847 327847 327886 327886
1831 327794 327794 327833 327833
2055 327613 327613 327652 327652
2150 361584 327613 361623 327652
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.27749e+06 2.27749e+06 2.27748e+06 2.27748e+06
2 1.7138e+06 1.7138e+06 1.71378e+06 1.71378e+06
4 921821 921821 921810 921810
5 647034 647034 647022 647022
33 626062 626062 626050 626050
113 545416 545416 545404 545404
257 443864 443864 443852 443852
276 347881 347881 347869 347869
487 343576 343576 343564 343564
521 334638 334638 334626 334626
754 332542 332542 332530 332530
789 311213 311213 311201 311201
2150 319447 311213 319435 311201
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.09726e+06 1.09726e+06 1.09733e+06 1.09733e+06
2 741900 741900 741971 741971
3 278826 278826 278896 278896
16 108429 108429 108500 108500
78 105051 105051 105122 105122
309 70704.2 70704.2 70774.9 70774.9
408 64356.7 64356.7 64427.4 64427.4
754 60187.4 60187.4 60258.1 60258.1
755 59267.6 59267.6 59338.2 59338.2
757 56434.8 56434.8 56505.5 56505.5
816 53096.3 53096.3 53167 53167
822 35235.1 35235.1 35305.8 35305.8
943 35006.6 35006.6 35077.3 35077.3
945 34145.5 34145.5 34216.2 34216.2
1054 32527.6 32527.6 32598.3 32598.3
1144 30890.5 30890.5 30961.2 30961.2
1151 29489.3 29489.3 29560 29560
1178 23113.2 23113.2 23183.9 23183.9
1520 20129.6 20129.6 20200.3 20200.3
1600 19948.7 19948.7 20019.4 20019.4
1608 19652.7 19652.7 19723.4 19723.4
1819 19315.4 19315.4 19386.1 19386.1
1883 19197.4 19197.4 19268.1 19268.1
