"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 518.057 518.057 523.017 523.017
3 346.812 346.812 351.772 351.772
4 145.599 145.599 150.559 150.559
11 72.6313 72.6313 77.5913 77.5913
88 64.6628 64.6628 69.6228 69.6228
410 59.3116 59.3116 64.2716 64.2716
439 47.8172 47.8172 52.7772 52.7772
797 46.5446 46.5446 51.5046 51.5046
1281 45.4052 45.4052 50.3652 50.3652
1522 43.3105 43.3105 48.2705 48.2705
1776 40.05 40.05 45.01 45.01
2150 75.9686 40.05 80.9286 45.01
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 91.736 91.736 284.036 284.036
5 89.3492 89.3492 281.649 281.649
20 68.823 68.823 261.123 261.123
28 64.738 64.738 257.038 257.038
103 61.6142 61.6142 253.914 253.914
125 41.4562 41.4562 233.756 233.756
318 36.9278 36.9278 229.228 229.228
823 36.0876 36.0876 228.388 228.388
832 35.3075 35.3075 227.607 227.607
993 34.695 34.695 226.995 226.995
1069 34.3185 34.3185 226.618 226.618
1465 33.1253 33.1253 225.425 225.425
1509 31.4979 31.4979 223.798 223.798
2150 53.9373 31.4979 246.237 223.798
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 220.028 220.028 269.738 269.738
2 154.942 154.942 204.652 204.652
4 106.058 106.058 155.768 155.768
12 95.6034 95.6034 145.313 145.313
24 88.1466 88.1466 137.857 137.857
45 71.0609 71.0609 120.771 120.771
62 61.6485 61.6485 111.358 111.358
266 60.2123 60.2123 109.922 109.922
414 56.3018 56.3018 106.012 106.012
425 37.1266 37.1266 86.8366 86.8366
655 33.6485 33.6485 83.3585 83.3585
791 30.7771 30.7771 80.4871 80.4871
1886 27.0624 27.0624 76.7724 76.7724
2150 48.0908 27.0624 97.8008 76.7724
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 295.862 295.862 500.982 500.982
2 114.913 114.913 320.033 320.033
9 79.1041 79.1041 284.224 284.224
18 78.7556 78.7556 283.876 283.876
25 74.3909 74.3909 279.511 279.511
36 61.1117 61.1117 266.232 266.232
53 56.864 56.864 261.984 261.984
94 53.9061 53.9061 259.026 259.026
130 53.2484 53.2484 258.368 258.368
131 51.1608 51.1608 256.281 256.281
148 50.0586 50.0586 255.179 255.179
184 49.6549 49.6549 254.775 254.775
257 39.2257 39.2257 244.346 244.346
484 35.242 35.242 240.362 240.362
733 34.6979 34.6979 239.818 239.818
777 31.7888 31.7888 236.909 236.909
794 28.784 28.784 233.904 233.904
1034 25.0992 25.0992 230.219 230.219
1660 24.4894 24.4894 229.609 229.609
2106 23.8763 23.8763 228.996 228.996
2150 209.639 23.8763 414.759 228.996
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 250.459 250.459 77.5591 77.5591
2 224.36 224.36 51.4602 51.4602
6 134.728 134.728 -38.1725 -38.1725
7 131.611 131.611 -41.2888 -41.2888
9 106.369 106.369 -66.5311 -66.5311
13 94.0947 94.0947 -78.8053 -78.8053
36 57.4185 57.4185 -115.481 -115.481
125 54.3882 54.3882 -118.512 -118.512
129 53.1786 53.1786 -119.721 -119.721
157 49.6054 49.6054 -123.295 -123.295
373 45.2793 45.2793 -127.621 -127.621
