"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
833 1265.95 1265.95 1310.66 1310.66
853 1259.36 1259.36 1304.07 1304.07
899 1218.41 1218.41 1263.12 1263.12
1238 1212.09 1212.09 1256.8 1256.8
1312 1201.46 1201.46 1246.17 1246.17
1878 1200.56 1200.56 1245.27 1245.27
2079 1199.64 1199.64 1244.35 1244.35
2150 1227.61 1199.64 1272.32 1244.35
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2750.79 2750.79 1750.79 1750.79
16 2459.36 2459.36 1459.36 1459.36
18 2338.1 2338.1 1338.1 1338.1
38 2126.45 2126.45 1126.45 1126.45
96 2096.31 2096.31 1096.31 1096.31
136 2087.43 2087.43 1087.43 1087.43
151 1764.74 1764.74 764.74 764.74
648 1643.23 1643.23 643.233 643.233
794 1629.63 1629.63 629.63 629.63
887 1591.2 1591.2 591.197 591.197
1312 1570.67 1570.67 570.671 570.671
2150 2412 1570.67 1412 570.671
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2395.99 2395.99 2700.19 2700.19
42 2381.69 2381.69 2685.89 2685.89
53 2325.71 2325.71 2629.91 2629.91
57 2282.39 2282.39 2586.59 2586.59
67 2023.59 2023.59 2327.79 2327.79
160 1946.83 1946.83 2251.03 2251.03
188 1878.56 1878.56 2182.76 2182.76
218 1784.63 1784.63 2088.83 2088.83
245 1701.78 1701.78 2005.98 2005.98
409 1659.91 1659.91 1964.11 1964.11
474 1651.69 1651.69 1955.89 1955.89
655 1549.1 1549.1 1853.3 1853.3
794 1538.24 1538.24 1842.44 1842.44
832 1521.13 1521.13 1825.33 1825.33
833 1446.53 1446.53 1750.73 1750.73
1188 1403.83 1403.83 1708.03 1708.03
1555 1393 1393 1697.2 1697.2
1653 1374.65 1374.65 1678.85 1678.85
2150 2013.41 1374.65 2317.61 1678.85
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2741.01 2741.01 2636.34 2636.34
4 2433.68 2433.68 2329.01 2329.01
53 2349.54 2349.54 2244.87 2244.87
57 2232.43 2232.43 2127.76 2127.76
77 2171.49 2171.49 2066.82 2066.82
127 2008.07 2008.07 1903.4 1903.4
130 1774.53 1774.53 1669.86 1669.86
403 1765.48 1765.48 1660.81 1660.81
496 1692.12 1692.12 1587.45 1587.45
619 1599.22 1599.22 1494.55 1494.55
751 1598.58 1598.58 1493.91 1493.91
862 1596.95 1596.95 1492.28 1492.28
880 1555.85 1555.85 1451.18 1451.18
930 1533.82 1533.82 1429.15 1429.15
1038 1514.82 1514.82 1410.15 1410.15
1180 1512.07 1512.07 1407.4 1407.4
1229 1511.2 1511.2 1406.53 1406.53
1460 1510.31 1510.31 1405.64 1405.64
1490 1483.3 1483.3 1378.63 1378.63
1511 1475.63 1475.63 1370.96 1370.96
2150 1519.9 1475.63 1415.23 1370.96
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3291.22 3291.22 3778.17 3778.17
2 3113.98 3113.98 3600.93 3600.93
15 3108.36 3108.36 3595.31 3595.31
17 2624.1 2624.1 3111.05 3111.05
37 2112.2 2112.2 2599.15 2599.15
52 2052.21 2052.21 2539.16 2539.16
55 1943.28 1943.28 2430.23 2430.23
126 1863.65 1863.65 2350.6 2350.6
262 1768 1768 2254.95 2254.95
413 1766.27 1766.27 2253.22 2253.22
430 1670.26 1670.26 2157.21 2157.21
