"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
32 28.7049 28.7049 542.925 542.925
117 7.18765 7.18765 521.408 521.408
403 3.29974 3.29974 517.52 517.52
655 2.15709 2.15709 516.377 516.377
750 41.6312 2.15709 555.851 516.377
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.2361 86.2361 696.116 696.116
2 80.7814 80.7814 690.661 690.661
3 76.7673 76.7673 686.647 686.647
9 70.2752 70.2752 680.155 680.155
10 46.5244 46.5244 656.404 656.404
15 46.3438 46.3438 656.224 656.224
25 38.3824 38.3824 648.262 648.262
30 7.90227 7.90227 617.782 617.782
368 0.532144 0.532144 610.412 610.412
750 24.3107 0.532144 634.191 610.412
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 85.6631 85.6631 208.123 208.123
2 32.7645 32.7645 155.224 155.224
75 27.3543 27.3543 149.814 149.814
120 25.3795 25.3795 147.839 147.839
150 17.1394 17.1394 139.599 139.599
411 12.4226 12.4226 134.883 134.883
486 11.5834 11.5834 134.043 134.043
493 7.86478 7.86478 130.325 130.325
500 3.05413 3.05413 125.514 125.514
750 20.4425 3.05413 142.903 125.514
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 79.3935 79.3935 66.4435 66.4435
2 76.2785 76.2785 63.3285 63.3285
3 62.8778 62.8778 49.9278 49.9278
7 36.5322 36.5322 23.5822 23.5822
29 27.2626 27.2626 14.3126 14.3126
68 14.9514 14.9514 2.00143 2.00143
161 14.8785 14.8785 1.92854 1.92854
162 13.6565 13.6565 0.706528 0.706528
166 8.28386 8.28386 -4.66614 -4.66614
242 6.70367 6.70367 -6.24633 -6.24633
443 5.2393 5.2393 -7.7107 -7.7107
615 2.28768 2.28768 -10.6623 -10.6623
635 1.91193 1.91193 -11.0381 -11.0381
655 1.65764 1.65764 -11.2924 -11.2924
750 23.7153 1.65764 10.7653 -11.2924
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.4849 84.4849 17.2149 17.2149
2 77.9008 77.9008 10.6308 10.6308
4 70.5996 70.5996 3.32958 3.32958
6 68.6458 68.6458 1.37576 1.37576
19 63.491 63.491 -3.77898 -3.77898
27 62.2185 62.2185 -5.05146 -5.05146
29 51.6241 51.6241 -15.6459 -15.6459
33 45.8265 45.8265 -21.4435 -21.4435
34 29.0464 29.0464 -38.2236 -38.2236
75 24.8414 24.8414 -42.4286 -42.4286
91 22.877 22.877 -44.393 -44.393
402 18.4728 18.4728 -48.7972 -48.7972
465 15.6449 15.6449 -51.6251 -51.6251
467 14.797 14.797 -52.473 -52.473
701 5.14184 5.14184 -62.1282 -62.1282
750 71.7003 5.14184 4.43034 -62.1282
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 76.0652 76.0652 75.2752 75.2752
3 74.4738 74.4738 73.6838 73.6838
4 68.7513 68.7513 67.9613 67.9613
8 68.6297 68.6297 67.8397 67.8397
21 65.3469 65.3469 64.5569 64.5569
33 7.78045 7.78045 6.99045 6.99045
750 67.6445 7.78045 66.8545 6.99045
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 60.2786 60.2786 104.449 104.449
2 57.6773 57.6773 101.847 101.847
7 37.3185 37.3185 81.4885 81.4885
11 9.41961 9.41961 53.5896 53.5896
66 8.62598 8.62598 52.796 52.796
142 0.281206 0.281206 44.4512 44.4512
712 0.0748072 0.0748072 44.2448 44.2448
750 6.54521 0.0748072 50.7152 44.2448
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 72.5235 72.5235 121.384 121.384
3 15.2797 15.2797 64.1397 64.1397
284 5.11384 5.11384 53.9738 53.9738
750 52.0704 5.11384 100.93 53.9738
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 77.4405 77.4405 43.0205 43.0205
3 72.386 72.386 37.966 37.966
8 67.2928 67.2928 32.8728 32.8728
10 64.2235 64.2235 29.8035 29.8035
24 54.4543 54.4543 20.0343 20.0343
66 53.0477 53.0477 18.6277 18.6277
83 38.6984 38.6984 4.27839 4.27839
101 36.1693 36.1693 1.7493 1.7493
159 33.123 33.123 -1.29705 -1.29705
359 25.4065 25.4065 -9.01346 -9.01346
398 23.0964 23.0964 -11.3236 -11.3236
750 72.2308 23.0964 37.8108 -11.3236
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.922 84.922 -53.008 -53.008
2 66.1201 66.1201 -71.8099 -71.8099
13 63.2237 63.2237 -74.7063 -74.7063
39 28.4018 28.4018 -109.528 -109.528
68 20.5982 20.5982 -117.332 -117.332
119 19.4499 19.4499 -118.48 -118.48
206 7.67805 7.67805 -130.252 -130.252
556 4.28402 4.28402 -133.646 -133.646
750 72.2429 4.28402 -65.6871 -133.646
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 84.5375 84.5375 1084.54 1084.54
2 78.1016 78.1016 1078.1 1078.1
6 69.1726 69.1726 1069.17 1069.17
9 33.3137 33.3137 1033.31 1033.31
39 14.8726 14.8726 1014.87 1014.87
326 13.8125 13.8125 1013.81 1013.81
439 13.6735 13.6735 1013.67 1013.67
447 8.26872 8.26872 1008.27 1008.27
750 58.8606 8.26872 1058.86 1008.27
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 67.9201 67.9201 85.7701 85.7701
2 43.5121 43.5121 61.3621 61.3621
47 4.00733 4.00733 21.8573 21.8573
750 64.2989 4.00733 82.1489 21.8573
