"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
19 8129.73 8129.73 8036.65 8036.65
27 462.602 462.602 369.522 369.522
63 188.751 188.751 95.6706 95.6706
463 175.572 175.572 82.4924 82.4924
470 149.767 149.767 56.687 56.687
516 136.995 136.995 43.9146 43.9146
611 49.6551 49.6551 -43.4249 -43.4249
750 6493.66 49.6551 6400.58 -43.4249
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 75445.3 75445.3 75486.9 75486.9
4 45571.2 45571.2 45612.9 45612.9
5 41229.1 41229.1 41270.8 41270.8
9 28004.7 28004.7 28046.4 28046.4
13 14745.6 14745.6 14787.3 14787.3
15 14354.2 14354.2 14395.9 14395.9
16 6587.02 6587.02 6628.7 6628.7
39 1390 1390 1431.68 1431.68
105 307.849 307.849 349.529 349.529
750 171918 307.849 171960 349.529
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 336627 336627 336338 336338
2 23905.4 23905.4 23616 23616
6 18000.9 18000.9 17711.6 17711.6
19 980.98 980.98 691.62 691.62
322 956.093 956.093 666.733 666.733
425 331.911 331.911 42.5511 42.5511
449 152.902 152.902 -136.458 -136.458
581 128.442 128.442 -160.918 -160.918
619 107.858 107.858 -181.502 -181.502
722 105.971 105.971 -183.389 -183.389
750 20315.2 105.971 20025.9 -183.389
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 98173.6 98173.6 98360.5 98360.5
2 15622.8 15622.8 15809.7 15809.7
5 9947.16 9947.16 10134 10134
24 4480.62 4480.62 4667.49 4667.49
41 1417.1 1417.1 1603.97 1603.97
106 618.931 618.931 805.801 805.801
173 573.785 573.785 760.655 760.655
298 225.587 225.587 412.457 412.457
738 183.623 183.623 370.493 370.493
750 74164 183.623 74350.8 370.493
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4587.11 4587.11 3939.35 3939.35
16 356.968 356.968 -290.792 -290.792
422 271.044 271.044 -376.716 -376.716
446 260.784 260.784 -386.976 -386.976
750 38582.3 260.784 37934.6 -386.976
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 52531.2 52531.2 52529.8 52529.8
5 43669.4 43669.4 43667.9 43667.9
12 30896 30896 30894.6 30894.6
14 7584.48 7584.48 7583 7583
51 4758.02 4758.02 4756.54 4756.54
52 2141.89 2141.89 2140.41 2140.41
60 239.345 239.345 237.865 237.865
280 137.913 137.913 136.433 136.433
750 3387.65 137.913 3386.17 136.433
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 172557 172557 172544 172544
2 133106 133106 133092 133092
4 79920.9 79920.9 79907.6 79907.6
5 14227.7 14227.7 14214.5 14214.5
13 9707.73 9707.73 9694.51 9694.51
21 6858.22 6858.22 6845 6845
34 6354 6354 6340.78 6340.78
74 403.44 403.44 390.22 390.22
184 298.93 298.93 285.71 285.71
282 31.7213 31.7213 18.5013 18.5013
750 20339.5 31.7213 20326.3 18.5013
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 158972 158972 158928 158928
2 8828.64 8828.64 8784 8784
11 3825.76 3825.76 3781.12 3781.12
17 799.938 799.938 755.298 755.298
46 290.419 290.419 245.779 245.779
257 195.388 195.388 150.748 150.748
750 577473 195.388 577428 150.748
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 361581 361581 361408 361408
2 90568.9 90568.9 90395.8 90395.8
3 8398.31 8398.31 8225.21 8225.21
23 8198.77 8198.77 8025.67 8025.67
35 2534.53 2534.53 2361.43 2361.43
42 471.956 471.956 298.856 298.856
140 445.388 445.388 272.288 272.288
267 245.953 245.953 72.8527 72.8527
341 220.701 220.701 47.6005 47.6005
418 61.737 61.737 -111.363 -111.363
750 67725.7 61.737 67552.6 -111.363
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 53067.4 53067.4 53097.3 53097.3
3 50840 50840 50869.9 50869.9
8 36420.2 36420.2 36450.1 36450.1
9 7983.31 7983.31 8013.21 8013.21
15 5989.58 5989.58 6019.48 6019.48
36 5832.95 5832.95 5862.85 5862.85
37 2636.35 2636.35 2666.25 2666.25
57 963.527 963.527 993.427 993.427
104 874.655 874.655 904.555 904.555
154 822.874 822.874 852.774 852.774
418 374.569 374.569 404.469 404.469
420 374.157 374.157 404.057 404.057
527 204.063 204.063 233.963 233.963
750 35785.5 204.063 35815.4 233.963
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 5896.28 5896.28 6280.58 6280.58
24 2580.59 2580.59 2964.89 2964.89
50 881.117 881.117 1265.42 1265.42
295 859.649 859.649 1243.95 1243.95
