"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.17076e+06 1.17076e+06 1.17064e+06 1.17064e+06
2 487907 487907 487789 487789
5 142171 142171 142052 142052
46 80725.3 80725.3 80606.8 80606.8
73 36930.6 36930.6 36812.1 36812.1
403 6023.68 6023.68 5905.19 5905.19
750 2.11394e+06 6023.68 2.11382e+06 5905.19
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.25386e+07 2.25386e+07 2.25387e+07 2.25387e+07
2 2.76543e+06 2.76543e+06 2.76546e+06 2.76546e+06
7 541202 541202 541230 541230
9 208514 208514 208542 208542
41 118569 118569 118597 118597
66 109314 109314 109342 109342
89 21527.3 21527.3 21555.4 21555.4
316 12114.2 12114.2 12142.3 12142.3
442 2744.43 2744.43 2772.53 2772.53
750 3.95149e+07 2744.43 3.9515e+07 2772.53
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 291373 291373 291332 291332
28 173458 173458 173418 173418
48 6922.1 6922.1 6881.61 6881.61
480 6080.28 6080.28 6039.79 6039.79
688 4297.46 4297.46 4256.97 4256.97
750 1.06521e+06 4297.46 1.06517e+06 4256.97
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 8.51262e+06 8.51262e+06 8.51247e+06 8.51247e+06
2 1.63309e+06 1.63309e+06 1.63294e+06 1.63294e+06
3 63051.4 63051.4 62904.3 62904.3
12 21343.7 21343.7 21196.7 21196.7
119 19520.9 19520.9 19373.8 19373.8
750 2.70638e+06 19520.9 2.70623e+06 19373.8
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.99917e+07 1.99917e+07 1.99917e+07 1.99917e+07
2 3.67739e+06 3.67739e+06 3.67742e+06 3.67742e+06
3 2.30708e+06 2.30708e+06 2.30711e+06 2.30711e+06
9 250180 250180 250211 250211
25 146163 146163 146194 146194
86 131727 131727 131758 131758
121 30137.3 30137.3 30168.5 30168.5
203 15681.1 15681.1 15712.2 15712.2
702 3067.96 3067.96 3099.07 3099.07
750 3993.02 3067.96 4024.13 3099.07
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.88827e+07 2.88827e+07 2.88817e+07 2.88817e+07
2 1.55726e+06 1.55726e+06 1.55626e+06 1.55626e+06
14 865620 865620 864620 864620
22 792043 792043 791043 791043
38 321450 321450 320450 320450
128 158447 158447 157447 157447
195 95408.2 95408.2 94408.2 94408.2
351 73346.2 73346.2 72346.2 72346.2
451 30321.7 30321.7 29321.7 29321.7
563 10333.7 10333.7 9333.71 9333.71
750 662451 10333.7 661451 9333.71
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.22774e+06 4.22774e+06 4.2285e+06 4.2285e+06
2 4.10023e+06 4.10023e+06 4.10098e+06 4.10098e+06
3 234463 234463 235216 235216
11 101055 101055 101808 101808
41 74322.3 74322.3 75075.8 75075.8
145 70532.5 70532.5 71286 71286
226 65994.3 65994.3 66747.8 66747.8
228 14267.9 14267.9 15021.4 15021.4
474 13399.9 13399.9 14153.4 14153.4
505 7989.01 7989.01 8742.5 8742.5
688 2864.53 2864.53 3618.02 3618.02
750 808907 2864.53 809660 3618.02
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 6.63614e+06 6.63614e+06 6.63592e+06 6.63592e+06
3 312377 312377 312159 312159
7 28587.5 28587.5 28369.6 28369.6
167 11855.5 11855.5 11637.7 11637.7
449 10055 10055 9837.22 9837.22
750 173773 10055 173555 9837.22
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.56822e+07 1.56822e+07 1.56822e+07 1.56822e+07
2 1.44001e+07 1.44001e+07 1.44001e+07 1.44001e+07
4 1.01552e+06 1.01552e+06 1.01549e+06 1.01549e+06
8 430433 430433 430411 430411
25 227969 227969 227948 227948
58 61552.1 61552.1 61530.3 61530.3
162 44677.7 44677.7 44655.9 44655.9
195 43149.4 43149.4 43127.6 43127.6
203 24957.4 24957.4 24935.6 24935.6
458 7886.46 7886.46 7864.66 7864.66
750 420090 7886.46 420068 7864.66
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 136323 136323 136410 136410
48 54277.7 54277.7 54364.9 54364.9
59 34519.4 34519.4 34606.5 34606.5
72 31811.3 31811.3 31898.4 31898.4
183 26604.6 26604.6 26691.8 26691.8
406 17396.1 17396.1 17483.2 17483.2
514 628.19 628.19 715.33 715.33
750 1.1326e+07 628.19 1.13261e+07 715.33
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 27063 27063 27058.3 27058.3
515 11880.5 11880.5 11875.8 11875.8
750 1.05534e+07 11880.5 1.05534e+07 11875.8
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.66946e+07 4.66946e+07 4.66946e+07 4.66946e+07
2 6.31973e+06 6.31973e+06 6.31973e+06 6.31973e+06
6 5.23814e+06 5.23814e+06 5.23814e+06 5.23814e+06
8 2.38017e+06 2.38017e+06 2.38017e+06 2.38017e+06
9 1.83783e+06 1.83783e+06 1.83783e+06 1.83783e+06
14 1.33834e+06 1.33834e+06 1.33834e+06 1.33834e+06
26 792839 792839 792837 792837
28 319722 319722 319720 319720
111 149014 149014 149012 149012
225 35927.6 35927.6 35925.8 35925.8
364 12348.4 12348.4 12346.6 12346.6
750 2.1178e+06 12348.4 2.1178e+06 12346.6
