"algId","DIM","funcId","runs","best reached","succ","budget","max evals used","worst recorded","worst reached","mean reached","median reached"
"ES_1",2,1,25,0.0047,1,20050,1240,82.63,0.3258,0.067,0.041
"ES_2",2,1,25,0.0016,1,20050,817,80.1,1.2397,0.1945,0.081
"ES_3",2,1,25,0.0054,1,20000,2524,70.29,2.1377,0.4305,0.25
"ES_4",2,1,25,4.2e-06,1,20050,19821,85.81,8e-04,2e-04,9.8e-05
"ES_5",2,1,25,0.0037,1,400,394,75.6,1.6389,0.2246,0.11
"ES_6",2,1,25,0.0052,1,200,182,76.87,0.6319,0.144,0.059
