"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
31 6.86095 6.86095 -34.469 -34.469
133 2.07556 2.07556 -39.2544 -39.2544
850 93.4915 2.07556 52.1615 -39.2544
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 73.3386 73.3386 286.089 286.089
2 37.3916 37.3916 250.142 250.142
9 28.5244 28.5244 241.274 241.274
11 26.8893 26.8893 239.639 239.639
15 26.2906 26.2906 239.041 239.041
22 12.499 12.499 225.249 225.249
126 8.81007 8.81007 221.56 221.56
507 7.88046 7.88046 220.63 220.63
508 6.51097 6.51097 219.261 219.261
589 5.65396 5.65396 218.404 218.404
655 5.10688 5.10688 217.857 217.857
666 4.88683 4.88683 217.637 217.637
850 18.8031 4.88683 231.553 217.637
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 41.6553 41.6553 48.1353 48.1353
2 21.6751 21.6751 28.1551 28.1551
5 18.5157 18.5157 24.9957 24.9957
15 14.6014 14.6014 21.0814 21.0814
48 13.6008 13.6008 20.0808 20.0808
49 11.2415 11.2415 17.7215 17.7215
125 5.79295 5.79295 12.2729 12.2729
352 2.01984 2.01984 8.49984 8.49984
712 2.00367 2.00367 8.48367 8.48367
785 1.09454 1.09454 7.57454 7.57454
850 157.518 1.09454 163.998 7.57454
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 43.3046 43.3046 -256.205 -256.205
3 25.3761 25.3761 -274.134 -274.134
10 20.694 20.694 -278.816 -278.816
17 10.7098 10.7098 -288.8 -288.8
47 2.45437 2.45437 -297.056 -297.056
850 227.576 2.45437 -71.9345 -297.056
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 86.0515 86.0515 251.351 251.351
2 11.0704 11.0704 176.37 176.37
120 10.2711 10.2711 175.571 175.571
510 5.19346 5.19346 170.493 170.493
540 4.11211 4.11211 169.412 169.412
559 3.03541 3.03541 168.335 168.335
774 1.40583 1.40583 166.706 166.706
850 18.2493 1.40583 183.549 166.706
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 58.4546 58.4546 -115.255 -115.255
2 16.3107 16.3107 -157.399 -157.399
12 11.8332 11.8332 -161.877 -161.877
37 10.085 10.085 -163.625 -163.625
103 3.05782 3.05782 -170.652 -170.652
530 0.639357 0.639357 -173.071 -173.071
565 0.604729 0.604729 -173.105 -173.105
850 6.79079 0.604729 -166.919 -173.105
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 48.6023 48.6023 105.542 105.542
24 46.6376 46.6376 103.578 103.578
33 34.7397 34.7397 91.6797 91.6797
44 11.6112 11.6112 68.5512 68.5512
164 8.65534 8.65534 65.5953 65.5953
318 8.18787 8.18787 65.1279 65.1279
537 4.88047 4.88047 61.8205 61.8205
621 3.00014 3.00014 59.9401 59.9401
850 4.79497 3.00014 61.735 59.9401
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 24.4355 24.4355 -109.204 -109.204
24 21.4357 21.4357 -112.204 -112.204
28 16.469 16.469 -117.171 -117.171
29 11.3638 11.3638 -122.276 -122.276
192 10.32 10.32 -123.32 -123.32
309 4.59939 4.59939 -129.041 -129.041
528 4.10167 4.10167 -129.538 -129.538
554 3.27135 3.27135 -130.369 -130.369
697 2.53809 2.53809 -131.102 -131.102
700 2.19874 2.19874 -131.441 -131.441
826 2.10929 2.10929 -131.531 -131.531
850 41.9954 2.10929 -91.6446 -131.531
