"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
25 2.24672e+06 2.24672e+06 2.24675e+06 2.24675e+06
213 1.97922e+06 1.97922e+06 1.97926e+06 1.97926e+06
258 496534 496534 496572 496572
1604 347470 347470 347508 347508
1868 212689 212689 212727 212727
2150 2.68932e+06 212689 2.68936e+06 212727
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.48413e+07 2.48413e+07 2.48412e+07 2.48412e+07
3 1.47273e+07 1.47273e+07 1.47273e+07 1.47273e+07
6 5.07447e+06 5.07447e+06 5.07443e+06 5.07443e+06
247 2.15383e+06 2.15383e+06 2.15378e+06 2.15378e+06
421 2.08171e+06 2.08171e+06 2.08166e+06 2.08166e+06
716 1.56619e+06 1.56619e+06 1.56614e+06 1.56614e+06
835 1.25721e+06 1.25721e+06 1.25716e+06 1.25716e+06
858 798540 798540 798495 798495
1027 745903 745903 745858 745858
1123 538863 538863 538818 538818
1883 394168 394168 394123 394123
2150 8.45894e+06 394168 8.4589e+06 394123
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.5917e+06 2.5917e+06 2.59177e+06 2.59177e+06
84 2.38483e+06 2.38483e+06 2.3849e+06 2.3849e+06
94 2.09428e+06 2.09428e+06 2.09435e+06 2.09435e+06
404 1.91207e+06 1.91207e+06 1.91214e+06 1.91214e+06
424 1.32336e+06 1.32336e+06 1.32343e+06 1.32343e+06
474 1.20592e+06 1.20592e+06 1.20599e+06 1.20599e+06
531 1.05087e+06 1.05087e+06 1.05094e+06 1.05094e+06
972 696215 696215 696282 696282
1186 313526 313526 313593 313593
2150 6.74618e+06 313526 6.74625e+06 313593
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.36559e+07 3.36559e+07 3.3656e+07 3.3656e+07
2 1.2466e+07 1.2466e+07 1.2466e+07 1.2466e+07
3 1.17491e+07 1.17491e+07 1.17492e+07 1.17492e+07
23 6.58687e+06 6.58687e+06 6.58693e+06 6.58693e+06
55 3.17029e+06 3.17029e+06 3.17035e+06 3.17035e+06
320 3.00997e+06 3.00997e+06 3.01003e+06 3.01003e+06
437 1.35777e+06 1.35777e+06 1.35783e+06 1.35783e+06
1066 1.23054e+06 1.23054e+06 1.2306e+06 1.2306e+06
1122 868810 868810 868868 868868
1168 831902 831902 831960 831960
1466 601300 601300 601358 601358
2150 1.65018e+08 601300 1.65018e+08 601358
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.75669e+07 1.75669e+07 1.75671e+07 1.75671e+07
4 9.37147e+06 9.37147e+06 9.37166e+06 9.37166e+06
23 8.68843e+06 8.68843e+06 8.68862e+06 8.68862e+06
32 7.86091e+06 7.86091e+06 7.8611e+06 7.8611e+06
36 6.85619e+06 6.85619e+06 6.85639e+06 6.85639e+06
45 4.86472e+06 4.86472e+06 4.86491e+06 4.86491e+06
56 4.25827e+06 4.25827e+06 4.25846e+06 4.25846e+06
64 3.46346e+06 3.46346e+06 3.46365e+06 3.46365e+06
90 3.42278e+06 3.42278e+06 3.42297e+06 3.42297e+06
164 3.1176e+06 3.1176e+06 3.1178e+06 3.1178e+06
260 1.83116e+06 1.83116e+06 1.83136e+06 1.83136e+06
335 942982 942982 943175 943175
657 591649 591649 591843 591843
1298 534478 534478 534671 534671
2150 5.6333e+06 534478 5.6335e+06 534671
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 4.28364e+06 4.28364e+06 4.28322e+06 4.28322e+06
47 3.51631e+06 3.51631e+06 3.51589e+06 3.51589e+06
53 3.13743e+06 3.13743e+06 3.13701e+06 3.13701e+06
56 2.79771e+06 2.79771e+06 2.7973e+06 2.7973e+06
