"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 17.9101 17.9101 14.4201 14.4201
2 15.7653 15.7653 12.2753 12.2753
3 11.7147 11.7147 8.22472 8.22472
16 10.5394 10.5394 7.0494 7.0494
28 10.469 10.469 6.97896 6.97896
39 7.68627 7.68627 4.19627 4.19627
44 7.48588 7.48588 3.99588 3.99588
50 6.10651 6.10651 2.61651 2.61651
268 4.9493 4.9493 1.4593 1.4593
363 3.75859 3.75859 0.268594 0.268594
776 3.11756 3.11756 -0.372439 -0.372439
2050 16.8693 3.11756 13.3793 -0.372439
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.9911 22.9911 10.1611 10.1611
2 8.73521 8.73521 -4.09479 -4.09479
10 6.19818 6.19818 -6.63182 -6.63182
24 5.3886 5.3886 -7.4414 -7.4414
259 5.09095 5.09095 -7.73905 -7.73905
369 4.88419 4.88419 -7.94581 -7.94581
669 4.10821 4.10821 -8.72179 -8.72179
2050 28.0224 4.10821 15.1924 -8.72179
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 22.259 22.259 -174.861 -174.861
2 9.18387 9.18387 -187.936 -187.936
13 8.35444 8.35444 -188.766 -188.766
20 6.89374 6.89374 -190.226 -190.226
48 5.48211 5.48211 -191.638 -191.638
594 4.84856 4.84856 -192.271 -192.271
1556 3.47336 3.47336 -193.647 -193.647
2050 37.0302 3.47336 -160.09 -193.647
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18.0846 18.0846 -461.285 -461.285
2 14.2221 14.2221 -465.148 -465.148
4 12.2537 12.2537 -467.116 -467.116
5 11.5017 11.5017 -467.868 -467.868
9 8.67386 8.67386 -470.696 -470.696
11 7.71601 7.71601 -471.654 -471.654
14 7.36105 7.36105 -472.009 -472.009
16 6.41543 6.41543 -472.955 -472.955
33 5.63543 5.63543 -473.735 -473.735
142 5.48596 5.48596 -473.884 -473.884
333 5.30911 5.30911 -474.061 -474.061
440 3.86439 3.86439 -475.506 -475.506
2050 6.87038 3.86439 -472.5 -475.506
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 23.2861 23.2861 875.696 875.696
2 21.8629 21.8629 874.273 874.273
3 6.92189 6.92189 859.332 859.332
32 5.20934 5.20934 857.619 857.619
581 3.87839 3.87839 856.288 856.288
2050 57.0552 3.87839 909.465 856.288
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 13.498 13.498 -986.502 -986.502
4 10.5906 10.5906 -989.409 -989.409
7 8.14387 8.14387 -991.856 -991.856
11 7.36046 7.36046 -992.64 -992.64
12 3.10119 3.10119 -996.899 -996.899
2050 21.6702 3.10119 -978.33 -996.899
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 25.6299 25.6299 99.7999 99.7999
2 14.4387 14.4387 88.6087 88.6087
8 10.7131 10.7131 84.8831 84.8831
10 9.36789 9.36789 83.5379 83.5379
13 6.94592 6.94592 81.1159 81.1159
19 6.72668 6.72668 80.8967 80.8967
153 5.41118 5.41118 79.5812 79.5812
384 4.76151 4.76151 78.9315 78.9315
390 4.25473 4.25473 78.4247 78.4247
1146 3.52616 3.52616 77.6962 77.6962
1875 3.49035 3.49035 77.6604 77.6604
2050 8.2075 3.49035 82.3775 77.6604
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.91017 7.91017 -504.02 -504.02
5 7.53761 7.53761 -504.392 -504.392
7 6.39063 6.39063 -505.539 -505.539
21 6.27543 6.27543 -505.655 -505.655
285 5.57735 5.57735 -506.353 -506.353
323 5.37379 5.37379 -506.556 -506.556
545 4.25847 4.25847 -507.672 -507.672
2050 10.7294 4.25847 -501.201 -507.672
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 12.966 12.966 -551.094 -551.094
3 12.5012 12.5012 -551.559 -551.559
8 11.9614 11.9614 -552.099 -552.099
10 6.7705 6.7705 -557.29 -557.29
133 4.50171 4.50171 -559.558 -559.558
589 4.45635 4.45635 -559.604 -559.604
804 3.95262 3.95262 -560.107 -560.107
1245 3.63175 3.63175 -560.428 -560.428
2050 13.5292 3.63175 -550.531 -560.428
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 18.6242 18.6242 -15.7458 -15.7458
2 14.4339 14.4339 -19.9361 -19.9361
5 13.2781 13.2781 -21.0919 -21.0919
7 10.6441 10.6441 -23.7259 -23.7259
8 9.86564 9.86564 -24.5044 -24.5044
18 8.77409 8.77409 -25.5959 -25.5959
24 8.57962 8.57962 -25.7904 -25.7904
31 7.19967 7.19967 -27.1703 -27.1703
39 7.03983 7.03983 -27.3302 -27.3302
153 6.57079 6.57079 -27.7992 -27.7992
254 5.97561 5.97561 -28.3944 -28.3944
556 5.64622 5.64622 -28.7238 -28.7238
1076 5.49254 5.49254 -28.8775 -28.8775
1568 5.4134 5.4134 -28.9566 -28.9566
2050 17.6906 5.4134 -16.6794 -28.9566
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 7.82186 7.82186 57.8619 57.8619
132 6.67714 6.67714 56.7171 56.7171
245 5.47145 5.47145 55.5114 55.5114
318 5.27981 5.27981 55.3198 55.3198
918 2.90009 2.90009 52.9401 52.9401
2050 11.8821 2.90009 61.9221 52.9401
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 11.1675 11.1675 -323.003 -323.003
3 10.4639 10.4639 -323.706 -323.706
13 8.12946 8.12946 -326.041 -326.041
22 7.28979 7.28979 -326.88 -326.88
151 4.5455 4.5455 -329.624 -329.624
2050 11.6226 4.5455 -322.547 -329.624
