"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.14578e+06 1.14578e+06 1.14582e+06 1.14582e+06
11 582151 582151 582188 582188
25 240459 240459 240497 240497
48 115888 115888 115925 115925
83 19181.5 19181.5 19218.8 19218.8
105 15980.3 15980.3 16017.6 16017.6
909 11059 11059 11096.4 11096.4
960 3595.97 3595.97 3633.32 3633.32
20000 1.41133e+11 3595.97 1.41133e+11 3633.32
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 920907 920907 920598 920598
3 912194 912194 911884 911884
9 18993.9 18993.9 18684.2 18684.2
55 11128.5 11128.5 10818.9 10818.9
79 11027.1 11027.1 10717.5 10717.5
96 7359.14 7359.14 7049.51 7049.51
282 3824.25 3824.25 3514.62 3514.62
1952 3526.82 3526.82 3217.19 3217.19
2058 2726.45 2726.45 2416.82 2416.82
11392 1146.05 1146.05 836.417 836.417
20000 2.20293e+10 1146.05 2.20293e+10 836.417
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.18264e+06 2.18264e+06 2.18164e+06 2.18164e+06
3 65451 65451 64451 64451
9 1624.07 1624.07 624.074 624.074
214 447.213 447.213 -552.787 -552.787
269 138.828 138.828 -861.172 -861.172
20000 6.5705e+11 138.828 6.5705e+11 -861.172
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.59523e+10 1.59523e+10 1.59523e+10 1.59523e+10
2 3.37005e+07 3.37005e+07 3.37006e+07 3.37006e+07
4 92191 92191 92249 92249
47 5508.87 5508.87 5566.87 5566.87
20000 3.76422e+42 5508.87 3.76422e+42 5566.87
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.77483e+06 1.77483e+06 1.77493e+06 1.77493e+06
12 984780 984780 984874 984874
17 355235 355235 355329 355329
18 111032 111032 111127 111127
21 28892.9 28892.9 28987.3 28987.3
37 87.6503 87.6503 182.03 182.03
448 38.1137 38.1137 132.494 132.494
20000 1.29073e+31 38.1137 1.29073e+31 132.494
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.63286e+06 1.63286e+06 1.63283e+06 1.63283e+06
2 102254 102254 102228 102228
55 1009.04 1009.04 982.382 982.382
75 291.253 291.253 264.593 264.593
20000 3.76848e+08 291.253 3.76848e+08 264.593
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 2.21855e+06 2.21855e+06 2.21771e+06 2.21771e+06
8 408024 408024 407182 407182
25 39793.9 39793.9 38952.2 38952.2
149 753.938 753.938 -87.7723 -87.7723
20000 5.61302e+10 753.938 5.61302e+10 -87.7723
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
