"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 295.359 295.359 93.6386 93.6386
2 233.05 233.05 31.3299 31.3299
9 174.24 174.24 -27.4804 -27.4804
13 151.775 151.775 -49.945 -49.945
21 132.43 132.43 -69.2897 -69.2897
148 128.772 128.772 -72.9484 -72.9484
214 119.752 119.752 -81.9683 -81.9683
217 117.96 117.96 -83.7603 -83.7603
313 107.917 107.917 -93.8027 -93.8027
317 85.3394 85.3394 -116.381 -116.381
1013 79.0527 79.0527 -122.667 -122.667
1021 75.7623 75.7623 -125.958 -125.958
1038 75.4139 75.4139 -126.306 -126.306
1117 73.9107 73.9107 -127.809 -127.809
1138 70.9932 70.9932 -130.727 -130.727
1622 66.0687 66.0687 -135.651 -135.651
2435 62.1982 62.1982 -139.522 -139.522
2511 60.4811 60.4811 -141.239 -141.239
2518 58.1556 58.1556 -143.564 -143.564
2601 57.8702 57.8702 -143.85 -143.85
2714 45.6617 45.6617 -156.058 -156.058
2727 32.7683 32.7683 -168.952 -168.952
2834 32.7275 32.7275 -168.993 -168.993
2841 30.4914 30.4914 -171.229 -171.229
4417 28.2044 28.2044 -173.516 -173.516
4419 19.7695 19.7695 -181.951 -181.951
17646 18.9701 18.9701 -182.75 -182.75
22507 15.8569 15.8569 -185.863 -185.863
25903 15.2812 15.2812 -186.439 -186.439
25904 12.7415 12.7415 -188.978 -188.978
26329 9.8548 9.8548 -191.865 -191.865
33145 9.8485 9.8485 -191.872 -191.872
68301 8.92625 8.92625 -192.794 -192.794
107339 8.71662 8.71662 -193.003 -193.003
110022 6.938 6.938 -194.782 -194.782
122501 6.639 6.639 -195.081 -195.081
200050 1789.64 6.639 1587.92 -195.081
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 284.158 284.158 -715.842 -715.842
3 210.298 210.298 -789.702 -789.702
5 152.786 152.786 -847.214 -847.214
227 132.905 132.905 -867.095 -867.095
307 123.128 123.128 -876.872 -876.872
426 119.784 119.784 -880.216 -880.216
715 96.7009 96.7009 -903.299 -903.299
1510 86.4992 86.4992 -913.501 -913.501
1511 79.2206 79.2206 -920.779 -920.779
2422 72.3766 72.3766 -927.623 -927.623
3102 62.0886 62.0886 -937.911 -937.911
3415 60.8194 60.8194 -939.181 -939.181
4846 58.5582 58.5582 -941.442 -941.442
6214 41.2242 41.2242 -958.776 -958.776
6708 34.8385 34.8385 -965.162 -965.162
6736 34.4916 34.4916 -965.508 -965.508
6740 28.8456 28.8456 -971.154 -971.154
7108 23.044 23.044 -976.956 -976.956
14106 20.4405 20.4405 -979.559 -979.559
18348 16.7508 16.7508 -983.249 -983.249
22733 13.8964 13.8964 -986.104 -986.104
33603 11.137 11.137 -988.863 -988.863
89336 9.73937 9.73937 -990.261 -990.261
108304 7.14656 7.14656 -992.853 -992.853
200050 329.722 7.14656 -670.278 -992.853
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 112.435 112.435 69.5352 69.5352
1042 83.8577 83.8577 40.9577 40.9577
1427 76.9884 76.9884 34.0884 34.0884
1431 41.5533 41.5533 -1.34671 -1.34671
7642 37.9831 37.9831 -4.91693 -4.91693
7903 31.4176 31.4176 -11.4824 -11.4824
9936 21.8476 21.8476 -21.0524 -21.0524
12535 18.984 18.984 -23.916 -23.916
12920 15.3463 15.3463 -27.5537 -27.5537
12922 14.5352 14.5352 -28.3648 -28.3648
14811 13.1782 13.1782 -29.7218 -29.7218
41301 11.9978 11.9978 -30.9022 -30.9022
41411 11.3937 11.3937 -31.5063 -31.5063
41414 11.3604 11.3604 -31.5396 -31.5396
41420 10.5198 10.5198 -32.3802 -32.3802
41432 9.94273 9.94273 -32.9573 -32.9573
41443 9.49497 9.49497 -33.405 -33.405
104014 7.39911 7.39911 -35.5009 -35.5009
108537 5.06802 5.06802 -37.832 -37.832
123603 4.79913 4.79913 -38.1009 -38.1009
124305 3.73903 3.73903 -39.161 -39.161
200050 346.512 3.73903 303.612 -39.161
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 216.153 216.153 114.833 114.833
5 194.96 194.96 93.6402 93.6402
17 142.235 142.235 40.9151 40.9151
32 126.677 126.677 25.3571 25.3571
114 124.57 124.57 23.2499 23.2499
411 122.03 122.03 20.7096 20.7096
429 113.64 113.64 12.3203 12.3203
535 98.3351 98.3351 -2.98493 -2.98493
1008 96.0911 96.0911 -5.22887 -5.22887
1409 65.8553 65.8553 -35.4647 -35.4647
1739 63.3459 63.3459 -37.9741 -37.9741
2902 56.6908 56.6908 -44.6292 -44.6292
2913 50.9025 50.9025 -50.4175 -50.4175
2925 50.4561 50.4561 -50.8639 -50.8639
2943 48.7119 48.7119 -52.6081 -52.6081
3707 33.3012 33.3012 -68.0188 -68.0188
5910 28.2455 28.2455 -73.0745 -73.0745
5918 26.5958 26.5958 -74.7242 -74.7242
5922 24.0859 24.0859 -77.2341 -77.2341
5928 22.6262 22.6262 -78.6938 -78.6938
6906 21.9944 21.9944 -79.3256 -79.3256
6915 18.0845 18.0845 -83.2355 -83.2355
6926 17.4236 17.4236 -83.8964 -83.8964
7439 16.5619 16.5619 -84.7581 -84.7581
11220 16.0356 16.0356 -85.2844 -85.2844
12816 13.4074 13.4074 -87.9126 -87.9126
